section,slug,title,date,word_count,has_images,originality,imagery,philosophical_depth,structure,sentence_control,voice,pm_share,audience,relevance,action,notes
notes,146,Interesting info about Count of…,2018-07-29,7,N,,,,,,,,,,,
notes,148,"[wplinkpreview url=""https://work.qz.com/1299190/how-this-generation-of-working-mothers-impacts-the-next-generation-of-workers/""]",2018-07-29,0,N,,,,,,,,,,,
notes,160,Untitled,2018-08-01,5,N,,,,,,,,,,,
notes,162,Untitled,2018-08-01,7,N,,,,,,,,,,,
notes,164,Untitled,2018-08-01,9,N,,,,,,,,,,,
notes,165,Untitled,2018-08-01,8,N,,,,,,,,,,,
notes,166,Untitled,2018-08-01,10,N,,,,,,,,,,,
notes,167,Untitled,2018-08-01,10,N,,,,,,,,,,,
notes,184,Untitled,2018-08-01,5,N,,,,,,,,,,,
notes,2-3rd,2/3rd,2018-10-12,18,N,,,,,,,,,,,
notes,20-vibrant-photos-with-high-color-contrast,20 Vibrant Photos with High Color Contrast,2018-07-25,29,N,,,,,,,,,,,
notes,212,Untitled,2018-08-06,10,N,,,,,,,,,,,
notes,213,Untitled,2018-08-06,5,N,,,,,,,,,,,
notes,249,Untitled,2018-08-19,0,N,,,,,,,,,,,
notes,250,Untitled,2018-08-19,0,N,,,,,,,,,,,
notes,251,Untitled,2018-08-19,4,N,,,,,,,,,,,
notes,294,Untitled,2018-09-04,16,N,,,,,,,,,,,
notes,298,AI guessing obesity levels,2018-09-04,9,N,,,,,,,,,,,
notes,336,Untitled,2018-10-30,0,N,,,,,,,,,,,
notes,341,Untitled,2019-04-19,10,N,,,,,,,,,,,
notes,390,Untitled,2020-03-21,92,N,,,,,,,,,,,
notes,392,Untitled,2020-03-24,9,N,,,,,,,,,,,
notes,393,Untitled,2020-03-25,1,N,,,,,,,,,,,
notes,43,Untitled,2018-07-20,30,Y,,,,,,,,,,,
notes,55,Untitled,2018-07-23,0,N,,,,,,,,,,,
notes,59,Untitled,2018-07-23,42,Y,,,,,,,,,,,
notes,61,Untitled,2018-07-23,133,N,,,,,,,,,,,
notes,72,Untitled,2018-07-24,7,N,,,,,,,,,,,
notes,__trashed,Untitled,2018-07-23,43,Y,,,,,,,,,,,
notes,a-better-way,a better way,2018-09-13,19,N,,,,,,,,,,,
notes,about-state-college,About State College,2020-11-13,1,N,,,,,,,,,,,
notes,alexa-skill-invocation-name,Alexa Skill invocation name,2018-07-27,0,N,,,,,,,,,,,
notes,are-the-stars-you-see-in-the-sky-already-dead,Are the stars you see in the sky already dead?,2018-08-04,33,N,,,,,,,,,,,
notes,avoiding-the-wrong-mvp-approach-jared-m-spool-medium,Avoiding The Wrong MVP Approach – Jared M. Spool – Medium,2019-03-25,39,N,,,,,,,,,,,
notes,beautiful-video-from-bbc-earth,Beautiful video from BBC Earth,2018-08-01,4,N,,,,,,,,,,,
notes,book-recommendations,Book Recommendations,2020-12-21,123,N,,,,,,,,,,,
notes,building-products-in-a-heavily-regulated-space,Building products in a heavily regulated space,2020-11-18,108,N,,,,,,,,,,,
notes,caliphate-podcast,Caliphate - Podcast,2018-07-26,21,N,,,,,,,,,,,
notes,cbs-ceo,CBS Ceo,2018-08-06,0,N,,,,,,,,,,,
notes,ceo-to-vp-of-products,CEO to VP of Products,2018-08-14,11,N,,,,,,,,,,,
notes,comcast-business-clicked-on,Comcast Business - clicked on...,2018-07-28,45,N,,,,,,,,,,,
notes,compaq-how-i-built-this,Compaq - How I built this,2019-04-19,4,N,,,,,,,,,,,
notes,cooking,Cooking,2020-05-06,2282,N,,,,,,,,,,,
notes,crappy-design,Crappy Design,2018-08-29,17,N,,,,,,,,,,,
notes,creating-god,Creating God,2019-06-16,7,N,,,,,,,,,,,
notes,cryptokitties-the-download-on-digital-cats-planet-money-npr,Cryptokitties: The Download On Digital Cats : Planet Money : NPR,2018-08-23,12,N,,,,,,,,,,,
notes,data-driven-guide-to-sane-parenting,Data driven guide to sane parenting,2019-06-16,16,N,,,,,,,,,,,
notes,daymond-john,Daymond John,2019-06-16,12,N,,,,,,,,,,,
notes,debugging-mazda-defect,Debugging Mazda defect,2019-04-27,26,N,,,,,,,,,,,
notes,decision-making,decision making,2018-09-10,28,N,,,,,,,,,,,
notes,design-lessons-from-silicon-valleys-most-important-failure,Design lessons from Silicon valley's most important failure,2018-08-23,0,N,,,,,,,,,,,
notes,dominos-self-driving-car,Dominos Self Driving Car,2018-10-08,1,N,,,,,,,,,,,
notes,dont-make-me-think,Don't make me think,2018-07-25,2,N,,,,,,,,,,,
notes,dr-strangelove,Dr Strangelove,2018-08-14,2,N,,,,,,,,,,,
notes,eu-fines-google,EU fines Google,2018-07-29,0,N,,,,,,,,,,,
notes,evernote-rebranding,Evernote rebranding,2018-09-01,22,N,,,,,,,,,,,
notes,facebook-login-page-design-optimization,UI links,2018-08-01,66,N,,,,,,,,,,,
notes,facebook-stock,Facebook stock,2018-07-26,58,N,,,,,,,,,,,
notes,facebooks-free-food-banned-as-silicon-valley-restaurants-hit-back,Facebook's free food banned as Silicon Valley restaurants hit back,2018-07-25,22,N,,,,,,,,,,,
notes,fairness,Fairness as a manager,2018-08-03,74,N,,,,,,,,,,,
notes,fee-free-fund,Fee free fund,2018-08-02,2,N,,,,,,,,,,,
notes,fire-in-brazils-national-museum,Fire in Brazil's national museum,2018-09-04,14,N,,,,,,,,,,,
notes,first-round-capital-on-employee-motivation,First Round Capital : on Employee Motivation,2018-07-31,41,N,,,,,,,,,,,
notes,from-the-top,From the top,2018-08-01,21,N,,,,,,,,,,,
notes,gender-confidence-gap,Gender confidence gap,2018-07-26,1,N,,,,,,,,,,,
notes,get-better-by-todd-davis,Get better by Todd Davis,2018-08-03,24,N,,,,,,,,,,,
notes,get-compensation-for-flight-delays-of-up-to-700-airhelp,Get Compensation for Flight Delays of up to $700 | AirHelp,2018-08-05,30,N,,,,,,,,,,,
notes,goal-mining,Goal mining,2019-06-16,27,N,,,,,,,,,,,
notes,google-assistant-redesign-adds-bigger-visuals-simple-smart-home-control,"Google Assistant redesign adds bigger visuals, simple smart home control",2018-10-03,1,N,,,,,,,,,,,
notes,google-plus,Google Plus,2018-10-12,54,N,,,,,,,,,,,
notes,google-unveils-2fa-titan-security-key-w-custom-firmware-coming-to-google-store,"Google unveils 2FA ‘Titan Security Key’ w/ custom firmware, coming to Google Store",2018-07-26,64,N,,,,,,,,,,,
notes,grande,Grande,2018-08-23,0,N,,,,,,,,,,,
notes,had-a-great-weekend-bbq,"Had a great weekend, BBQ...",2018-07-22,79,N,,,,,,,,,,,
notes,hey-google-tell-me-something-good,"Hey Google, tell me something good",2018-08-23,15,N,,,,,,,,,,,
notes,hobby,Hobby,2018-10-03,0,N,,,,,,,,,,,
notes,honey,Honey,2018-08-01,5,N,,,,,,,,,,,
notes,how-energy-makes-life-possible-bill-gates,How energy makes life possible | Bill Gates,2018-09-10,16,N,,,,,,,,,,,
notes,how-mapping-the-agile-transformation-journey-points-the-way-to-continuous-innovation,How Mapping The Agile Transformation Journey Points The Way To Continuous Innovation,2019-03-25,24,N,,,,,,,,,,,
notes,how-mental-models-unlock-your-thinking,How Mental Models Unlock Your Thinking,2019-04-07,43,N,,,,,,,,,,,
notes,how-this-video-applies-to-any-context,How this video applies to any context,2020-07-27,85,N,,,,,,,,,,,
notes,how-to-be-a-hero,How to be a hero,2018-09-03,32,N,,,,,,,,,,,
notes,how-to-disagree,How to Disagree,2018-08-07,7,N,,,,,,,,,,,
notes,how-to-organize-information,How to organize information,2020-07-28,507,N,,,,,,,,,,,
notes,how-to-persuade-your-companys-product-team-to-build-something-quartz-at-work,How to persuade your company’s product team to build something — Quartz at Work,2018-08-30,7,N,,,,,,,,,,,
notes,how-to-praise-your-co-worker-correctly,How to praise your co-worker correctly,2020-08-06,162,N,,,,,,,,,,,
notes,https-youtu-be-ujzpjbmqfy4,https://youtu.be/uJzpJBMQfy4,2018-07-21,1,N,,,,,,,,,,,
notes,i-have-to-check-some,I have to check some...,2018-07-27,9,N,,,,,,,,,,,
notes,index-funds,Index Funds,2018-09-30,7,N,,,,,,,,,,,
notes,indra-nooyi,Indra Nooyi,2018-08-15,0,N,,,,,,,,,,,
notes,insurance-comparison,Insurance comparison,2018-08-27,68,N,,,,,,,,,,,
notes,is-coconut-oil-bad-for-you-a-professor-called-it-poison-vox,Is coconut oil bad for you? A professor called it “poison” - Vox,2018-08-30,24,N,,,,,,,,,,,
notes,jedi,Jedi,2018-08-14,9,N,,,,,,,,,,,
notes,kindness,Kindness,2018-07-25,16,N,,,,,,,,,,,
notes,likership,Likership,2019-11-03,1,N,,,,,,,,,,,
notes,links-and-resources-for-parents,Links and resources for parents,2020-03-30,659,N,,,,,,,,,,,
notes,listened-to-black-holes-exponent,Listened to Black Holes - Exponent,2018-07-26,1,N,,,,,,,,,,,
notes,listening-to-john-maxwell-on,Listening to John Maxwell on...,2018-07-27,97,N,,,,,,,,,,,
notes,listening,Listening,2018-07-24,9,N,,,,,,,,,,,
notes,logic-how-i-built-this,Logic - How I built this,2019-04-19,6,N,,,,,,,,,,,
notes,lost-kitchen,Lost kitchen,2018-09-08,5,N,,,,,,,,,,,
notes,luck-risk-and-avoiding-losers,Luck risk and avoiding losers,2019-06-16,22,N,,,,,,,,,,,
notes,making-friends,making friends,2018-09-10,177,N,,,,,,,,,,,
notes,mental-models-for-pms,Mental models for PMs,2018-08-30,9,N,,,,,,,,,,,
notes,micro-moments,Micro-moments,2020-11-14,1,N,,,,,,,,,,,
notes,mission-impossible,Mission impossible,2018-07-31,15,N,,,,,,,,,,,
notes,mobile-friendly-pdf,Mobile friendly pdf,2018-08-11,15,N,,,,,,,,,,,
notes,moviepass-in-crisis,Moviepass in crisis?,2018-07-27,15,N,,,,,,,,,,,
notes,moviepass-update,Moviepass-update,2018-08-06,97,N,,,,,,,,,,,
notes,movies,Movies,2018-07-29,3,N,,,,,,,,,,,
notes,mr-smith-goes-to-washington,Mr Smith Goes to Washington,2018-08-14,21,N,,,,,,,,,,,
notes,my-experience-with-911,My experience with 911,2020-10-06,1550,Y,,,,,,,,,,,
notes,naming,naming,2018-09-12,37,N,,,,,,,,,,,
notes,new-uscis-policy-will-carry-harsh-consequences-for-applicants,New USCIS Policy Will Carry Harsh Consequences For Applicants,2018-07-25,25,N,,,,,,,,,,,
notes,newsletter-launch,Newsletter Launch,2020-10-19,4,N,,,,,,,,,,,
notes,north-by-north-west,North by North West,2018-08-23,10,N,,,,,,,,,,,
notes,opinion-make-your-daughter-practice-math-shell-thank-you-later-the-new-york-times-2,Opinion | Make Your Daughter Practice Math. She’ll Thank You Later. - The New York Times,2018-08-23,22,N,,,,,,,,,,,
notes,opinion-make-your-daughter-practice-math-shell-thank-you-later-the-new-york-times,Opinion | Make Your Daughter Practice Math. She’ll Thank You Later. - The New York Times,2018-08-08,22,N,,,,,,,,,,,
notes,pluto-tv-ilya-pozen,Pluto TV - Ilya Pozen,2020-07-26,4,N,,,,,,,,,,,
notes,pm-differences,PM differences,2018-08-01,66,N,,,,,,,,,,,
notes,pm-resources,Untitled,2018-07-19,27,Y,,,,,,,,,,,
notes,pms-as-enablers-of-decisions,PMs as enablers of decisions,2020-11-17,57,N,,,,,,,,,,,
notes,podcast-day,Podcast day,2018-09-30,0,N,,,,,,,,,,,
notes,pondering-about-job-culture-values,"Pondering about job, culture, values.",2018-07-20,5,N,,,,,,,,,,,
notes,pondering-over-the-question,Pondering over the question -...,2018-07-27,68,N,,,,,,,,,,,
notes,postmortems-in-development,postmortems in development,2018-08-24,0,N,,,,,,,,,,,
notes,prime-on-comcast,Prime on Comcast,2018-08-07,0,N,,,,,,,,,,,
notes,product-comparison,Product comparison,2018-08-28,72,Y,,,,,,,,,,,
notes,quest-lab-self-check-in,Quest Lab Self Check-in,2018-09-04,0,N,,,,,,,,,,,
notes,rabbit-hole,Rabbit Hole,2020-04-23,413,N,,,,,,,,,,,
notes,rani-lakshmi-bai,Rani Lakshmi Bai,2019-06-16,16,N,,,,,,,,,,,
notes,referrals,Referrals,2020-01-02,1,N,,,,,,,,,,,
notes,regrets-of-the-dying-bronnie-ware,Regrets of the Dying - Bronnie Ware,2020-07-26,44,N,,,,,,,,,,,
notes,remote-work-resources,Remote Work Resources,2020-03-20,232,N,,,,,,,,,,,
notes,retirement,Retirement,2019-11-10,1,N,,,,,,,,,,,
notes,rise-of-tech-enabled-services,Rise of tech enabled services,2020-12-21,200,N,,,,,,,,,,,
notes,roywood-jr,Roywood Jr,2018-08-03,25,N,,,,,,,,,,,
notes,science-fiction-readers,Science fiction readers ...,2018-08-23,0,N,,,,,,,,,,,
notes,sensationalism-in-news,Sensationalism in news,2019-10-16,1,N,,,,,,,,,,,
notes,so-sad-that-moves-app,So sad that moves app...,2018-07-28,45,N,,,,,,,,,,,
notes,spotify-freakonomics-podcast,Spotify - Freakonomics podcast,2019-04-19,4,N,,,,,,,,,,,
notes,spotify,Spotify,2019-04-27,4,N,,,,,,,,,,,
notes,squarespace-how-i-built-this,Squarespace - How I built this,2019-04-27,1,N,,,,,,,,,,,
notes,stand-ups-are-broken,Stand ups are broken,2018-08-23,0,N,,,,,,,,,,,
notes,starting-august-1-you-can-3d-print-a-gun,"Starting August 1, you can 3D print a gun",2018-07-24,26,N,,,,,,,,,,,
notes,stewart-butterfield,Stewart Butterfield,2019-06-16,8,N,,,,,,,,,,,
notes,sticher-the-leader,Sticher - the leader,2018-08-06,0,N,,,,,,,,,,,
notes,sting,Sting,2018-09-25,7,N,,,,,,,,,,,
notes,sultan-khan,Sultan Khan,2020-04-13,13,N,,,,,,,,,,,
notes,taxes,Taxes,2019-06-16,15,N,,,,,,,,,,,
notes,tee-wisdom,Tee Wisdom,2018-09-09,15,N,,,,,,,,,,,
notes,the-greatest-coach-silicon-valley-product-group,The Greatest Coach | Silicon Valley Product Group,2019-04-27,12,N,,,,,,,,,,,
notes,the-hierarchy-of-disagreement-the-best-and-worst-argument-techniques-big-think,The hierarchy of disagreement: The best and worst argument techniques | Big Think,2018-08-23,27,N,,,,,,,,,,,
notes,the-vest-vending-machine-at-san-franciscos-airport-is-making-bank-business-insider,The vest vending machine at San Francisco's airport is making bank - Business Insider,2018-08-05,45,N,,,,,,,,,,,
notes,this-clever-app-lets-amazon-alexa-read-sign-language,This clever app lets Amazon Alexa read sign language,2018-07-25,13,N,,,,,,,,,,,
notes,ticket-to-ride-ai,Ticket to Ride - AI,2018-08-12,30,N,,,,,,,,,,,
notes,til,TIL,2018-07-31,29,N,,,,,,,,,,,
notes,tips-on-isolation-by-scott-kelly,Tips on isolation by Scott Kelly,2020-03-28,1,N,,,,,,,,,,,
notes,tweetorder-com-jed-christiansen,TweetOrder.com – Jed Christiansen,2018-08-05,59,N,,,,,,,,,,,
notes,tweetorder,Tweetorder,2018-08-05,14,N,,,,,,,,,,,
notes,twitter,Twitter,2020-07-19,0,Y,,,,,,,,,,,
notes,underground-railroad-wikipedia,Underground Railroad - Wikipedia,2018-07-25,16,N,,,,,,,,,,,
notes,uscis-updates-policy-guidance-for-certain-requests-for-evidence-and-notices-of-intent-to-deny-uscis,USCIS Updates Policy Guidance for Certain Requests for Evidence and Notices of Intent to Deny | USCIS,2018-07-25,21,N,,,,,,,,,,,
notes,useloom-com-is-awesome-what,useloom.com is awesome !! What...,2018-07-27,10,N,,,,,,,,,,,
notes,virtual-numbers-on-capital-one,Virtual numbers on Capital One...,2018-07-29,24,N,,,,,,,,,,,
notes,walmarts-latest-move-to-compete-with-amazon-is-a-kobo-ebook-and-audiobook-store-the-verge,Walmart’s latest move to compete with Amazon is a Kobo ebook and audiobook store - The Verge,2018-08-30,4,N,,,,,,,,,,,
notes,watching-2,Watching,2018-07-27,16,N,,,,,,,,,,,
notes,watching-3,Watching,2018-08-08,48,N,,,,,,,,,,,
notes,watching-count-of-monte-cristo,"Watching ""Count of Monte Cristo""",2018-07-28,5,N,,,,,,,,,,,
notes,watching,Watching,2018-07-26,3,N,,,,,,,,,,,
notes,we-chat,We chat,2019-11-03,1,N,,,,,,,,,,,
notes,when-will-outlook-gets-some,When will Outlook gets some...,2018-07-25,34,N,,,,,,,,,,,
notes,why-technical-experts-make-great-leaders-podcast,Why technical experts make great leaders: Podcast,2018-09-03,200,N,,,,,,,,,,,
notes,working-on-a-problem-separately,working on a problem separately,2018-09-10,32,N,,,,,,,,,,,
notes,world-2-0-there-are-decades-where-nothing-happens-and-weeks-where-decades-happen-marginal-revolution,"World 2.0 - ""There are decades where nothing happens, and weeks where decades happen"" - Marginal REVOLUTION",2020-04-05,21,N,,,,,,,,,,,
journal,%e0%b2%ac%e0%b2%82%e0%b2%97%e0%b2%be%e0%b2%b0%e0%b2%a6-%e0%b2%ae%e0%b2%a8%e0%b3%81%e0%b2%b7%e0%b3%8d%e0%b2%af-%e0%b2%87%e0%b2%a8%e0%b3%8d%e0%b2%a8%e0%b2%bf%e0%b2%b2%e0%b3%8d%e0%b2%b2,ಬಂಗಾರದ ಮನುಷ್ಯ ಇನ್ನಿಲ್ಲ,2006-04-13,382,N,,,,,,,,,,,
journal,119,?,2005-09-28,95,N,,,,,,,,,,,
journal,121,Kannada Audio,2005-10-03,247,N,,,,,,,,,,,
journal,1686,Untitled,2011-08-16,1,N,,,,,,,,,,,
journal,1st-day-at-mba,1st day at MBA,2009-08-24,189,N,,,,,,,,,,,
journal,1st-day-in-class,1st day in class,2009-08-25,351,N,,,,,,,,,,,
journal,2-vs-2,2 vs 2,2005-10-14,26,N,,,,,,,,,,,
journal,2-years-and-a-poem,2 years and a poem,2011-08-05,178,N,,,,,,,,,,,
journal,200m-from-day-dreaming-game,$200M from day dreaming game,2014-08-14,45,N,,,,,,,,,,,
journal,25,25,2006-03-16,196,N,,,,,,,,,,,
journal,256-lane-superhighway,256 Lane superhighway !!,2005-03-17,63,N,,,,,,,,,,,
journal,3-related-thoughts,3 related thoughts,2005-12-13,339,N,,,,,,,,,,,
journal,52-frames,52 Frames,2018-07-14,34,N,,,,,,,,,,,
journal,7g,7g,2005-03-21,318,N,,,,,,,,,,,
journal,80-android-phone-sells-like-hotcakes-in-kenya-the-world-next-singularity-hub,"$80 Android Phone Sells Like Hotcakes in Kenya, the World Next? | Singularity Hub",2011-08-16,319,N,,,,,,,,,,,
journal,85,Parineeta,2005-07-02,372,N,,,,,,,,,,,
journal,9211,9211,2006-03-10,333,N,,,,,,,,,,,
journal,a-conversation,A conversation,2005-08-18,2293,N,,,,,,,,,,,
journal,a-game,A game,2006-02-09,3,N,,,,,,,,,,,
journal,a-general-roundup,A general roundup,2006-01-02,799,N,,,,,,,,,,,
journal,a-heap-of-broken-images,A heap of broken images,2005-04-06,331,N,,,,,,,,,,,
journal,a-life-lived,A life lived,2005-10-04,436,N,,,,,,,,,,,
journal,aap-ka-suroor-or-rather-himesh-reshammiyas-topi-2,Aap ka suroor (or rather Himesh Reshammiya's topi),2007-07-09,1222,N,,,,,,,,,,,
journal,aargh,Aargh...,2007-07-10,124,N,,,,,,,,,,,
journal,ab-baby,AB Baby,2006-01-09,325,N,,,,,,,,,,,
journal,about-2,About,2007-01-26,0,Y,,,,,,,,,,,
journal,about-3,About,2018-07-08,58,N,,,,,,,,,,,
journal,about-themes-and,About themes and ..,2005-12-08,485,Y,,,,,,,,,,,
journal,about,About,2006-01-07,128,Y,,,,,,,,,,,
journal,accuweather,AccuWeather,2020-09-24,482,Y,,,,,,,,,,,
journal,activist-fund-calls-for-breakup-of-blackberry-maker-nytimes-com,Activist Fund Calls for Breakup of BlackBerry Maker - NYTimes.com,2011-09-07,183,N,,,,,,,,,,,
journal,all-the-best,All the best,2006-02-15,779,N,,,,,,,,,,,
journal,all-things-inception,All things Inception,2010-08-04,898,N,,,,,,,,,,,
journal,all-you-need-is-love,All you need is love,2009-02-23,918,N,,,,,,,,,,,
journal,am-not-way,Am not way :),2007-06-12,1165,N,,,,,,,,,,,
journal,animusic,Animusic,2007-02-10,1,N,,,,,,,,,,,
journal,anomaly-that-is-steve-jobs,Anomaly that is Steve Jobs,2011-08-25,334,Y,,,,,,,,,,,
journal,another-dubey,Another Dubey,2005-11-22,53,N,,,,,,,,,,,
journal,apaharan,Apaharan,2005-12-09,442,N,,,,,,,,,,,
journal,app-genius-mike-lee-talks-product-engineering,App Genius Mike Lee Talks Product Engineering,2011-09-22,979,N,,,,,,,,,,,
journal,app-reviews,App reviews,2014-08-19,144,N,,,,,,,,,,,
journal,apps-developers-will-crown-the-victor-iphone-blackberry-or-android-aapl-goog-rimm,"Apps Developers Will Crown the Victor -- iPhone, BlackBerry, or Android AAPL, GOOG, RIMM",2011-08-29,457,N,,,,,,,,,,,
journal,appstore-seo-how-to-seo-for-a-mobile-app-mobilemoxie-mobile-marketing-and-seo-consulting-and-free-tools,AppStore SEO: How to SEO for a Mobile App | MobileMoxie: Mobile Marketing and SEO Consulting and Free Tools,2011-09-16,363,N,,,,,,,,,,,
journal,aptha-mitra,Aptha Mitra,2005-06-04,476,N,,,,,,,,,,,
journal,arianna-huffingtons-talk-at-penn-state,Arianna Huffington's talk at Penn State,2012-03-12,1314,N,,,,,,,,,,,
journal,as-my-career-path-seems-unclear-all-i-am-doing-is,Weekend Reading,2014-09-09,70,N,,,,,,,,,,,
journal,atlas-shrugged,Atlas Shrugged,2007-02-13,542,N,,,,,,,,,,,
journal,audio-video-fest,Audio Video Fest,2006-05-21,447,N,,,,,,,,,,,
journal,award,Award!,2005-03-17,59,N,,,,,,,,,,,
journal,bangalore-in-google-earth,Bangalore in Google Earth,2005-10-25,29,N,,,,,,,,,,,
journal,being-busy,Being busy,2010-07-25,236,N,,,,,,,,,,,
journal,being-cyrus-zathura,"Being Cyrus, Zathura",2006-04-17,163,N,,,,,,,,,,,
journal,best-dead-husband,Best dead husband,2012-01-31,1345,N,,,,,,,,,,,
journal,bheja-fry,Bheja Fry,2007-05-27,466,N,,,,,,,,,,,
journal,bhoomi-jaatre,Bhoomi Jaatre,2007-05-29,108,Y,,,,,,,,,,,
journal,blog-day,Blog Day,2005-08-31,47,N,,,,,,,,,,,
journal,blogging-quotes,Blogging Quotes!,2007-05-26,38,N,,,,,,,,,,,
journal,blogging-updates,Blogging updates!,2007-05-20,113,N,,,,,,,,,,,
journal,blogging,Blogging,2005-01-03,86,N,5,4,5,5,5,5,N,F,2,Archive,2004 blogging zeitgeist piece; now dated
journal,blogmela,Blogmela,2006-08-31,0,N,,,,,,,,,,,
journal,blogshares,Blogshares,2005-03-17,78,N,,,,,,,,,,,
journal,blogspot-blocked,Blogspot blocked !,2006-07-17,463,N,,,,,,,,,,,
journal,book-tag,Book Tag,2005-07-03,372,N,,,,,,,,,,,
journal,bowl-out,Bowl out,2007-09-17,250,N,,,,,,,,,,,
journal,bread-and-toast,bread and toast,2011-07-18,457,N,,,,,,,,,,,
journal,bumble-bee-shouldnt-fly,Bumble bee shouldn't fly,2005-01-26,401,N,,,,,,,,,,,
journal,burst-spectrum,Burst Spectrum,2005-12-14,223,N,,,,,,,,,,,
journal,business-english-classes,Business English Classes,2005-02-14,49,N,,,,,,,,,,,
journal,calling-spirits,Calling spirits...,2008-03-12,267,N,,,,,,,,,,,
journal,campus-winter-etc,"Campus, winter etc",2009-08-25,427,N,,,,,,,,,,,
journal,canvas,Canvas,2006-06-09,162,N,,,,,,,,,,,
journal,car-car-car,Car car car,2006-12-25,617,N,,,,,,,,,,,
